Overall Num,AHI_Lon,AHI_Lat,AMI_Lon,AMI_Lat,Mean Lon,Mean Lat,Mean Height,Mean Dist,Mean StdDev,Dist StdDev,Small H,Small D,StdSmall H
1,-174.82251,-19.89342,-174.51906,-19.91443,-19.76,-175.2424,32.96,0.02,2.16,0.01,32.98,0.00001,1.7
2,-174.54968,-20.01449,-174.16508,-20.04503,-19.8496,-175.0768,40.96,0.02,2.12,0.01,41.6,0.00001,2.39
3,-174.45211,-20.06647,-174.08518,-20.08503,-19.9045,-174.9535,38.77,0.02,2.11,0.01,38.42,0.00001,2.14
4,-174.65739,-20.35427,-174.21921,-20.37632,-20.1566,-175.2568,46.66,0.02,2.13,0.01,46.67,0.00001,2.61
5,-174.57653,-20.47431,-174.07863,-20.51562,-20.2578,-175.2552,52.65,0.02,2.11,0.02,53.61,0.00001,1.64
6,-175.40781,-20.38461,-175.0556,-20.40007,-20.217,-175.8993,39.3,0.02,2.22,0.01,38.59,0.00001,1.98
7,-175.04701,-20.23403,-174.65953,-20.26643,-20.062,-175.584,42.44,0.02,2.18,0.01,42.02,0.00001,2.29
8,-174.09935,-20.73118,-173.69786,-20.74996,-20.5523,-174.6418,41,0.02,2.04,0.01,41.01,0.00001,2.46
9,-174.50618,-20.84031,-174.0373,-20.77174,-20.5823,-175.1386,48.77,0.09,2.1,0.02,49.81,0.00996,2.46
10,-174.81718,-20.96467,-174.26573,-20.97724,-20.7025,-175.5628,58.26,0.02,1.66,0.01,57.97,0.00001,1.38
11,-175.38206,-20.74312,-174.97953,-20.79124,-20.5639,-175.944,44.68,0.03,2.21,0.02,45.28,0.00001,2.37
12,-175.03956,-20.61428,-174.5533,-20.64756,-20.3922,-175.7092,52.81,0.02,2.17,0.01,53.7,0.00001,1.7
13,-175.12037,-21.27685,-174.70059,-21.28857,-21.0705,-175.6994,45.28,0.02,2.16,0.01,45.29,0.00001,2.35
14,-174.34759,-21.38739,-174.01464,-21.38207,-21.2226,-174.7995,34.11,0.02,2.05,0.02,34.29,0.00001,1.82
15,-175.07059,-20.35895,-174.63365,-20.38456,-20.1588,-175.6741,47.75,0.02,2.18,0.01,48.27,0.00001,2.32
16,-174.97781,-20.51822,-174.50588,-20.5556,-20.3067,-175.6276,51.16,0.02,2.16,0.01,51.34,0.00001,2.13
17,-175.10715,-20.58377,-174.65544,-20.61033,-20.3746,-175.731,49.3,0.02,2.18,0.01,49.34,0.00001,2.03
18,-174.72049,-20.80739,-174.17584,-20.83224,-20.5565,-175.4594,57.56,0.02,1.86,0.01,57.17,0.00001,1.65
19,-174.20755,-21.06687,-173.77342,-21.13891,-20.8945,-174.7979,44.55,0.05,2.04,0.02,44.78,0.00004,2.67
20,-174.31525,-20.96767,-173.89925,-20.99057,-20.7799,-174.8797,42.9,0.02,2.06,0.01,42.93,0.00001,2.21
21,-175.49981,-19.82219,-175.33726,-19.83238,-19.7473,-175.7295,18.45,0.02,2.25,0.01,17.76,0.00001,2
22,-175.67474,-19.96051,-175.44562,-19.97393,-19.853,-175.9986,26.21,0.02,2.27,0.01,26.17,0.00001,1.83
23,-175.26572,-20.08157,-174.88851,-20.11095,-19.9121,-175.7911,41.97,0.02,2.21,0.01,42.38,0.00001,2.78
24,-174.99852,-19.97025,-174.66118,-19.99031,-19.8186,-175.4661,36.97,0.02,2.18,0.01,37.4,0.00001,1.87
25,-175.67779,-20.24945,-175.38112,-20.2681,-20.1094,-176.0958,33.77,0.02,2.26,0.01,34.04,0.00001,2.05
26,-174.99511,-19.69672,-174.81694,-19.70964,-19.6182,-175.2442,19.65,0.02,2.19,0.01,19.63,0.00001,1.78
27,-176.05837,-20.58245,-175.81262,-20.5929,-20.4598,-176.4076,28.46,0.02,2.3,0.01,28.84,0.00001,2.28
28,-175.50762,-20.76268,-175.13595,-20.77059,-20.5783,-176.026,41.42,0.02,2.22,0.01,41.66,0.00001,2.19
29,-174.99189,-21.01275,-174.45483,-21.03219,-20.757,-175.7246,57.52,0.02,1.89,0.01,56.95,0.00001,1.73
30,-175.49752,-20.7248,-175.12795,-20.73152,-20.5412,-176.0128,41.18,0.02,2.23,0.01,41.47,0.00001,1.52
31,-175.42027,-21.05708,-175.02256,-21.07855,-20.8648,-175.9739,43.91,0.02,2.2,0.01,43.47,0.00001,1.66
32,-175.85174,-21.01908,-175.55128,-21.02807,-20.8666,-176.2751,34.08,0.02,2.26,0.01,34.07,0.00001,1.99
33,-175.88023,-21.12324,-175.62363,-21.12673,-20.9901,-176.2424,29.1,0.02,2.26,0.01,28.56,0.00001,2.62
34,-175.30592,-21.38684,-174.9273,-21.38647,-21.1926,-175.8304,41.21,0.02,2.18,0.02,41.63,0.00001,2.31
35,-175.79966,-21.16727,-175.54698,-21.15958,-21.0312,-176.1549,28.45,0.02,2.25,0.02,28.41,0.00001,1.7
