GFS_Pres,GFS_T,GFS_H,ECM_Pres,ECM_T_00,ECM_T_06,ECM_H,,
0.02,201.2,74537.5,0.02,203,205.2,79238.92461,,
0.04,217.1,70280.7,0.031,210.3,212.1,73441.77675,,
0.07,229.6,66590.9,0.047,215.6,216.3,70667.53682,,
0.1,231.9,64182.2,0.068,220.2,219.7,68024.91167,,
0.2,239.1,59437.4,0.097,224.6,223.5,65535.81498,,
0.4,251.8,54450.8,0.136,229.9,228.7,63202.33719,,
0.7,259.3,50247.9,0.186,236.2,234.2,60995.25322,,
1,261.9,47521.4,0.25,241.7,239.2,58913.01311,,
2,256.7,42243.8,0.33,247.2,244.6,56952.71066,,
3,247.7,39248.3,0.429,253.1,248,55066.43961,,
5,237.7,35628.7,0.55,257.2,251.1,53235.24343,,
7,233.7,33309.6,0.695,258.5,253.1,51465.15885,,
10,229.6,30891.3,0.869,258.6,254.3,49754.98259,,
15,222,28208,1.074,260.7,255.9,48101.22723,,
20,219.4,26353.4,1.314,263.1,258.3,46502.52635,,
30,216.8,23771.5,1.593,264.2,259,44962.69368,,
40,211.9,21964.4,1.913,262.9,258.5,43488.99981,,
50,207.2,20588.8,2.28,260.5,256.9,42092.84516,,
70,197.2,18601.5,2.695,258.6,254.2,40786.84362,,
100,191,16595.2,3.164,255.1,250.2,39569.67976,,
150,206.8,14242.5,3.69,247.2,246.8,38425.69073,,
200,220.9,12444.2,4.276,239.9,242.5,37337.33742,,
250,231.2,10971,4.926,238.4,238.4,36297.39004,,
300,241.8,9707.8,5.644,238.4,236.1,35311.60998,,
350,250.4,8598.1,6.433,236.5,234.5,34383.35211,,
400,258.9,7602.5,7.297,232.3,232.5,33504.64226,,
450,265.8,6697.6,8.24,229.6,230.9,32666.74145,,
500,270.7,5869.4,9.263,228.8,230.1,31866.08067,,
550,273.8,5109.7,10.372,228.4,229,31098.17318,,
600,277.7,4406.5,11.569,227.7,227.7,30357.13521,,
650,281.3,3750.9,12.856,226.2,226.8,29639.6119,,
700,284.6,3136.6,14.238,225.2,225.4,28944.63451,,
750,286.8,2559.1,15.716,224.9,224.7,28271.90733,,
800,287.9,2015.9,17.294,224.4,222.7,27621.39976,,
850,284.2,1507.9,18.975,223.1,219.6,26995.42657,,
900,287.4,1027.5,20.761,221.8,218.4,26397.33242,,
925,289,795.1,22.654,220.7,217.4,25826.25055,,
950,290.5,567.6,24.658,220.2,216.6,25277.45968,,
975,292.3,344.7,26.773,219.6,216.3,24746.85035,,
1000,294.4,126,29.004,218.8,216.3,24232.05682,,
,,,31.351,218,216.4,23731.67188,,
,,,33.817,217.1,216.3,23245.4202,,
